method,trial_order,fam_order,trial_5,trial_6
inlab,1,A,KNOW_RR,IG_RR_ExitLeft_CON
inlab,2,B,KNOW_RL,IG_RR_ExitLeft_CON
inlab,3,B,KNOW_LR,IG_RR_ExitRight_INC
inlab,4,A,KNOW_LL,IG_RR_ExitRight_INC
inlab,5,B,KNOW_RR,IG_RL_ExitRight_CON
inlab,6,A,KNOW_RL,IG_RL_ExitRight_CON
inlab,7,A,KNOW_LR,IG_RL_ExitLeft_INC
inlab,8,B,KNOW_LL,IG_RL_ExitLeft_INC
inlab,9,A,IG_RR,KNOW_LR_ExitLeft_CON
inlab,10,B,IG_RL,KNOW_LR_ExitLeft_CON
inlab,11,B,IG_LR,KNOW_LR_ExitRight_INC
inlab,12,A,IG_LL,KNOW_LR_ExitRight_INC
inlab,13,B,IG_RR,KNOW_LL_ExitRight_CON
inlab,14,A,IG_RL,KNOW_LL_ExitRight_CON
inlab,15,A,IG_LR,KNOW_LL_ExitLeft_INC
inlab,16,B,IG_LL,KNOW_LL_ExitLeft_INC
inlab,17,A,IG_RR,KNOW_RR_ExitRight_INC
inlab,18,B,IG_RL,KNOW_RR_ExitRight_INC
inlab,19,B,IG_LR,KNOW_RR_ExitLeft_CON
inlab,20,A,IG_LL,KNOW_RR_ExitLeft_CON
inlab,21,B,IG_RR,KNOW_RL_ExitLeft_INC
inlab,22,A,IG_RL,KNOW_RL_ExitLeft_INC
inlab,23,A,IG_LR,KNOW_RL_ExitRight_CON
inlab,24,B,IG_LL,KNOW_RL_ExitRight_CON
inlab,25,A,KNOW_RR,IG_LR_ExitRight_INC
inlab,26,B,KNOW_RL,IG_LR_ExitRight_INC
inlab,27,B,KNOW_LR,IG_LR_ExitLeft_CON
inlab,28,A,KNOW_LL,IG_LR_ExitLeft_CON
inlab,29,B,KNOW_RR,IG_LL_ExitLeft_INC
inlab,30,A,KNOW_RL,IG_LL_ExitLeft_INC
inlab,31,A,KNOW_LR,IG_LL_ExitRight_CON
inlab,32,B,KNOW_LL,IG_LL_ExitRight_CON
inlab,33,A,KNOW_RR,IG_RR_ExitRight_INC
inlab,34,B,KNOW_RL,IG_RR_ExitRight_INC
inlab,35,B,KNOW_LR,IG_RR_ExitLeft_CON
inlab,36,A,KNOW_LL,IG_RR_ExitLeft_CON
inlab,37,B,KNOW_RR,IG_RL_ExitLeft_INC
inlab,38,A,KNOW_RL,IG_RL_ExitLeft_INC
inlab,39,A,KNOW_LR,IG_RL_ExitRight_CON
inlab,40,B,KNOW_LL,IG_RL_ExitRight_CON
inlab,41,A,IG_RR,KNOW_LR_ExitRight_INC
inlab,42,B,IG_RL,KNOW_LR_ExitRight_INC
inlab,43,B,IG_LR,KNOW_LR_ExitLeft_CON
inlab,44,A,IG_LL,KNOW_LR_ExitLeft_CON
inlab,45,B,IG_RR,KNOW_LL_ExitLeft_INC
inlab,46,A,IG_RL,KNOW_LL_ExitLeft_INC
inlab,47,A,IG_LR,KNOW_LL_ExitRight_CON
inlab,48,B,IG_LL,KNOW_LL_ExitRight_CON
inlab,49,A,IG_RR,KNOW_RR_ExitLeft_CON
inlab,50,B,IG_RL,KNOW_RR_ExitLeft_CON
inlab,51,B,IG_LR,KNOW_RR_ExitRight_INC
inlab,52,A,IG_LL,KNOW_RR_ExitRight_INC
inlab,53,B,IG_RR,KNOW_RL_ExitRight_CON
inlab,54,A,IG_RL,KNOW_RL_ExitRight_CON
inlab,55,A,IG_LR,KNOW_RL_ExitLeft_INC
inlab,56,B,IG_LL,KNOW_RL_ExitLeft_INC
inlab,57,A,KNOW_RR,IG_LR_ExitLeft_CON
inlab,58,B,KNOW_RL,IG_LR_ExitLeft_CON
inlab,59,B,KNOW_LR,IG_LR_ExitRight_INC
inlab,60,A,KNOW_LL,IG_LR_ExitRight_INC
inlab,61,B,KNOW_RR,IG_LL_ExitRight_CON
inlab,62,A,KNOW_RL,IG_LL_ExitRight_CON
inlab,63,A,KNOW_LR,IG_LL_ExitLeft_INC
inlab,64,B,KNOW_LL,IG_LL_ExitLeft_INC
web,1,A,KNOW_RR,IG_RR
web,2,B,KNOW_RL,IG_RR
web,3,B,KNOW_LR,IG_RR
web,4,A,KNOW_LL,IG_RR
web,5,B,KNOW_RR,IG_RL
web,6,A,KNOW_RL,IG_RL
web,7,A,KNOW_LR,IG_RL
web,8,B,KNOW_LL,IG_RL
web,9,A,IG_RR,KNOW_LR
web,10,B,IG_RL,KNOW_LR
web,11,B,IG_LR,KNOW_LR
web,12,A,IG_LL,KNOW_LR
web,13,B,IG_RR,KNOW_LL
web,14,A,IG_RL,KNOW_LL
web,15,A,IG_LR,KNOW_LL
web,16,B,IG_LL,KNOW_LL
web,17,A,IG_RR,KNOW_RR
web,18,B,IG_RL,KNOW_RR
web,19,B,IG_LR,KNOW_RR
web,20,A,IG_LL,KNOW_RR
web,21,B,IG_RR,KNOW_RL
web,22,A,IG_RL,KNOW_RL
web,23,A,IG_LR,KNOW_RL
web,24,B,IG_LL,KNOW_RL
web,25,A,KNOW_RR,IG_LR
web,26,B,KNOW_RL,IG_LR
web,27,B,KNOW_LR,IG_LR
web,28,A,KNOW_LL,IG_LR
web,29,B,KNOW_RR,IG_LL
web,30,A,KNOW_RL,IG_LL
web,31,A,KNOW_LR,IG_LL
web,32,B,KNOW_LL,IG_LL
